task,model_size,wiki_size (tokens),pretrain_lr_scheduler,contamination_stage,seed,seen,unseen,diff
SST-5,base,6.00E+07,constant,first,0,42.6,28.4,14.2
SST-5,base,6.00E+07,constant,first,1,44.4,30.9,13.5
SST-5,base,6.00E+07,constant,first,42,41.3,26.9,14.4
SST-5,base,6.00E+07,constant,first,483,42.1,29.4,12.7
SST-5,base,6.00E+07,constant,first,494,42.3,27.9,14.4
SST-5,base,6.00E+07,constant,first,210,42.5,32.1,10.4
SST-5,base,6.00E+07,constant,first,799,44.7,33.5,11.2
SST-5,base,6.00E+07,constant,first,852,43.4,26.4,17
SST-5,base,6.00E+07,constant,first,464,41.8,31,10.8
SST-5,base,6.00E+07,constant,first,398,44.2,33.9,10.3
SST-5,base,6.00E+07,constant,middle,0,39.9,28.7,11.2
SST-5,base,6.00E+07,constant,middle,1,38.5,28.8,9.7
SST-5,base,6.00E+07,constant,middle,42,42,29.5,12.5
SST-5,base,6.00E+07,constant,middle,483,37.9,31.7,6.2
SST-5,base,6.00E+07,constant,middle,494,39.6,32,7.6
SST-5,base,6.00E+07,constant,middle,210,39,33.8,5.2
SST-5,base,6.00E+07,constant,middle,799,43.2,34.1,9.1
SST-5,base,6.00E+07,constant,middle,852,36.6,26.3,10.3
SST-5,base,6.00E+07,constant,middle,464,37.6,30.2,7.4
SST-5,base,6.00E+07,constant,middle,398,40.7,34.2,6.5
SST-5,base,6.00E+07,constant,last,0,49,34.2,14.8
SST-5,base,6.00E+07,constant,last,1,46.3,32.3,14
SST-5,base,6.00E+07,constant,last,42,47.2,30.8,16.4
SST-5,base,6.00E+07,constant,last,483,48.3,32.3,16
SST-5,base,6.00E+07,constant,last,494,45.9,31.9,14
SST-5,base,6.00E+07,constant,last,210,46.5,36.1,10.4
SST-5,base,6.00E+07,constant,last,799,48.7,36.5,12.2
SST-5,base,6.00E+07,constant,last,852,44.9,29.6,15.3
SST-5,base,6.00E+07,constant,last,464,45.2,34.2,11
SST-5,base,6.00E+07,constant,last,398,49.5,35.2,14.3
