task,model_size,wiki_size (tokens),pretrain_lr_scheduler,contamination_stage,seed,seen,unseen,diff
SST-5,base,6.00E+07,linear,first,0,49.1,32.9,16.2
SST-5,base,6.00E+07,linear,first,1,49.5,35.5,14
SST-5,base,6.00E+07,linear,first,42,51.2,32.3,18.9
SST-5,base,6.00E+07,linear,first,483,49.9,32.9,17
SST-5,base,6.00E+07,linear,first,494,50.5,34.2,16.3
SST-5,base,6.00E+07,linear,first,210,51.1,31.9,19.2
SST-5,base,6.00E+07,linear,first,799,45.3,31.3,14
SST-5,base,6.00E+07,linear,first,852,46.9,29.9,17
SST-5,base,6.00E+07,linear,first,464,46.1,32.6,13.5
SST-5,base,6.00E+07,linear,first,398,49,28.2,20.8
SST-5,base,6.00E+07,linear,middle,0,43.7,35.7,8
SST-5,base,6.00E+07,linear,middle,1,43.2,35.7,7.5
SST-5,base,6.00E+07,linear,middle,42,44.7,33.7,11
SST-5,base,6.00E+07,linear,middle,483,42.1,32.6,9.5
SST-5,base,6.00E+07,linear,middle,494,41.3,34.8,6.5
SST-5,base,6.00E+07,linear,middle,210,41,33.9,7.1
SST-5,base,6.00E+07,linear,middle,799,43.2,32.9,10.3
SST-5,base,6.00E+07,linear,middle,852,42,33.5,8.5
SST-5,base,6.00E+07,linear,middle,464,45.6,36.1,9.5
SST-5,base,6.00E+07,linear,middle,398,40.5,30.4,10.1
SST-5,base,6.00E+07,linear,last,0,36.4,35.5,0.9
SST-5,base,6.00E+07,linear,last,1,34.1,34,0.1
SST-5,base,6.00E+07,linear,last,42,36.6,31.2,5.4
SST-5,base,6.00E+07,linear,last,483,33.4,35.5,-2.1
SST-5,base,6.00E+07,linear,last,494,33.5,35.8,-2.3
SST-5,base,6.00E+07,linear,last,210,31.8,28.7,3.1
SST-5,base,6.00E+07,linear,last,799,36.3,33.5,2.8
SST-5,base,6.00E+07,linear,last,852,29.5,29.2,0.3
SST-5,base,6.00E+07,linear,last,464,37,35.2,1.8
SST-5,base,6.00E+07,linear,last,398,35.5,31.9,3.6
